LogicalTGA,SourceClass,TGAPath,TGABYTES,TGASHA256,BTIPath,BTIBYTES,BTISHA256
dlc-frontend\textures\ui\ui button arrow left 64x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow left 64x32 rollover.tga,8210,a1763bdbceacdc039d374f084665f3ab1834c402a6d6c1dc0a02e93220101bfd,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow left 64x32 rollover.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button arrow left 64x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow left 64x32.tga,8210,dfdd6893418788bb2b6479c16fd2f606150a0ba508b5a000df4c59dc4065c4d9,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow left 64x32.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button arrow right 64x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow right 64x32 clicked.tga,8210,9247f36f21e75c0b41f786cac652e6f981c667fa00963981a39c52c3bc5b2c4d,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow right 64x32 clicked.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button arrow right 64x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow right 64x32 rollover.tga,8210,bfb7e4fa0b29883bb818a970cd2840f240971425ad7dfd97654b33979890db12,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow right 64x32 rollover.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button arrow right 64x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow right 64x32.tga,8210,4eab75966a8d324582c1048def2f1e9eeca7a89fce3813b4fabaf5744b93a5b4,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow right 64x32.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button arrow up 32x64 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow up 32x64 clicked.tga,8210,a588ed8a1300bde8894ccc28e6beeea1cf847d4e73ce4dc32dd612b3da8f936c,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow up 32x64 clicked.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button arrow up 32x64 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow up 32x64 rollover.tga,8210,64d698b30e9d3875a0ac6add1933178763fd553051dffb77ccffba63c8ea9fc4,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow up 32x64 rollover.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button arrow up 32x64.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow up 32x64.tga,8210,b18da2abcb70c6f855e67c9bb27e43a7a590e8392dc4d082277e5d21f15c3397,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow up 32x64.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button check box 32x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button check box 32x32 clicked.tga,4114,42d95b82cf78cfbda63cb2a49ee5f513241deb3c37f3319f8a3314f3171eaa0a,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button check box 32x32 clicked.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button check box 32x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button check box 32x32 rollover.tga,4114,ce1401cca008ec223445b90485743f1da257aae8c346f7f09807a5919d1d9659,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button check box 32x32 rollover.bti,25,61188a8d047cc292d54ca929904f9d9d0f4bbb73b2da919ad3bc2130697b6a20
dlc-frontend\textures\ui\ui button check box 32x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button check box 32x32.tga,4114,e5994b486704c13cf2f0199e481c3bb79887feb5a228f37ab76784b4ef6b0e9f,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button check box 32x32.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button long 128x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 128x32 clicked.tga,16402,1734933423c7f17fe783ef37635aebe6a9c899b43add44e4733cf15998a66148,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 128x32 clicked.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button long 128x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 128x32 rollover.tga,16402,6795d2a1cc3d9242c05f042b3297c87a28419c67e4cfed79134706dc49648307,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 128x32 rollover.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button long 128x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 128x32.tga,16402,61039b48e86359dece22f8d5b677a6efc19d18ddb1e6ae867ac7feba561fb985,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 128x32.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button long 160x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 160x32 clicked.tga,32786,7d723021deef1cf2b4baa83c2e20c6edd9ea712bbf6edca57d7638be1b1f10c7,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 160x32 clicked.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button long 160x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 160x32 rollover.tga,32786,f4f8ee893d42bf686eeaf5f34404145f374ffae8b6eddf383f26347c72ad70d6,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 160x32 rollover.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button long 160x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 160x32.tga,32786,26c699f6dadeff6b5b2480d8b4f064865152c30ec1891ef1d3b1be47988c009c,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 160x32.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button long 192x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 192x32 clicked.tga,32786,a79c9908bba778871bd5c348948409740a34e2f8a4b8186072ca3431778a84c9,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 192x32 clicked.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button long 192x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 192x32 rollover.tga,32786,e467fe6706124451f6bdcef5aa80a6b9ea690719ad9cd31c37b42e11f4ef7f4d,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 192x32 rollover.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button long 192x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 192x32.tga,32786,5d8a64050ab5e1f5d7bcc2d9168cb8220f7473ee4eec1c533d7c1f76789f5f89,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 192x32.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button long 224x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 224x32 clicked.tga,32786,e8930ba86265adbc9d609e339c5246817f0a684f5e9b0cfafa71b2824e993ba1,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 224x32 clicked.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button long 224x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 224x32 rollover.tga,32786,66c713e4127959183b314bb60c19540b3c35b30aca3f865cececd977c7d54f7c,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 224x32 rollover.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
dlc-frontend\textures\ui\ui button long 224x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 224x32.tga,32786,e95cc6efa77e3592dd337181518494af1176e0190c70fba9a1ad34fc6e35112b,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button long 224x32.bti,25,24bf9375a566b35bd3100bb974d097acf12262e7fcb944759d774cf911497a98
