"RelativePath","SourceType","TgaPath","BtiPath","OriginalDdtPath","Width","Height","TgaImageType","BitsPerPixel","TgaBytes","BtiFound","OriginalDdtFound","ProcessingEligible","DuplicateRelativePath"
"dlc-frontend\textures\ui\ui button arrow left 64x32.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow left 64x32.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow left 64x32.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button arrow left 64x32.ddt","64","32","2","32","8210","True","True","True","False"
"dlc-frontend\textures\ui\ui button arrow right 64x32 clicked.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow right 64x32 clicked.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow right 64x32 clicked.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button arrow right 64x32 clicked.ddt","64","32","2","32","8210","True","True","True","False"
"dlc-frontend\textures\ui\ui button arrow right 64x32 rollover.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow right 64x32 rollover.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow right 64x32 rollover.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button arrow right 64x32 rollover.ddt","64","32","2","32","8210","True","True","True","False"
"dlc-frontend\textures\ui\ui button arrow right 64x32.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow right 64x32.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow right 64x32.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button arrow right 64x32.ddt","64","32","2","32","8210","True","True","True","False"
"dlc-frontend\textures\ui\ui button arrow up 32x64 clicked.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow up 32x64 clicked.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow up 32x64 clicked.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button arrow up 32x64 clicked.ddt","32","64","2","32","8210","True","True","True","False"
"dlc-frontend\textures\ui\ui button arrow up 32x64 rollover.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow up 32x64 rollover.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow up 32x64 rollover.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button arrow up 32x64 rollover.ddt","32","64","2","32","8210","True","True","True","False"
"dlc-frontend\textures\ui\ui button arrow up 32x64.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow up 32x64.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow up 32x64.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button arrow up 32x64.ddt","32","64","2","32","8210","True","True","True","False"
"dlc-frontend\textures\ui\ui button check box 32x32 clicked.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button check box 32x32 clicked.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button check box 32x32 clicked.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button check box 32x32 clicked.ddt","32","32","2","32","4114","True","True","True","False"
"dlc-frontend\textures\ui\ui button check box 32x32 rollover.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button check box 32x32 rollover.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button check box 32x32 rollover.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button check box 32x32 rollover.ddt","32","32","2","32","4114","True","True","True","False"
"dlc-frontend\textures\ui\ui button check box 32x32.tga","NormalExtraction","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button check box 32x32.tga","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button check box 32x32.bti","D:\AI_upscaling\AoMEE\Age of Mythology\dlc-frontend\textures\ui\ui button check box 32x32.ddt","32","32","2","32","4114","True","True","True","False"
