"RelativePath","FullPath","Size","UTF8BOM","Alpha","NoMip","Format","Text"
"textures\terrain\shorelineaegeanc_gloss.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineaegeanc_gloss.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineaegeanc_nm.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineaegeanc_nm.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineaegeanc_spec.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineaegeanc_spec.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineatlantica.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineatlantica.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineatlantica_gloss.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineatlantica_gloss.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineatlantica_nm.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineatlantica_nm.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineatlantica_spec.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineatlantica_spec.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineatlanticb.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineatlanticb.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineatlanticb_gloss.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineatlanticb_gloss.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineatlanticb_nm.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineatlanticb_nm.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineatlanticb_spec.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineatlanticb_spec.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineatlanticc.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineatlanticc.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineatlanticc_gloss.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineatlanticc_gloss.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineatlanticc_nm.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineatlanticc_nm.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineatlanticc_spec.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineatlanticc_spec.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineJungleA.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineJungleA.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineJungleB.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineJungleB.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelineJungleC.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelineJungleC.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinemediterraneana.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinemediterraneana.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinemediterraneana_gloss.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinemediterraneana_gloss.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinemediterraneana_nm.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinemediterraneana_nm.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinemediterraneana_spec.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinemediterraneana_spec.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinemediterraneanb.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinemediterraneanb.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinemediterraneanb_gloss.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinemediterraneanb_gloss.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinemediterraneanb_nm.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinemediterraneanb_nm.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinemediterraneanb_spec.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinemediterraneanb_spec.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinemediterraneanc.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinemediterraneanc.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinemediterraneanc_gloss.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinemediterraneanc_gloss.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinemediterraneanc_nm.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinemediterraneanc_nm.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinemediterraneanc_spec.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinemediterraneanc_spec.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinemediterraneand.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinemediterraneand.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinemediterraneand_gloss.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinemediterraneand_gloss.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinemediterraneand_nm.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinemediterraneand_nm.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinemediterraneand_spec.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinemediterraneand_spec.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinenorwegiana.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinenorwegiana.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinenorwegiana_gloss.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinenorwegiana_gloss.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinenorwegiana_nm.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinenorwegiana_nm.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinenorwegiana_spec.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinenorwegiana_spec.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
"textures\terrain\shorelinenorwegianb.bti","D:\AI_upscaling\AoMEE\extracted\textures\terrain\shorelinenorwegianb.bti","25","False","0","False","DeflatedRGBA8","alpha=0 fmt=DeflatedRGBA8"
