"Filename","Category","Width","Height","OpaquePixels","OpaqueCoveragePct","AlphaValueCount","BTIFile","BTILine"
"building n shared06 2 map.tga","Building","256","256","898","1.37","2","D:\AI_upscaling\AoMEE\extracted\textures\building n shared06 2 map.bti","alpha=1 noalphatest fmt=BC3"
"building n templeage1.tga","Building","256","256","879","1.341","2","D:\AI_upscaling\AoMEE\extracted\textures\building n templeage1.bti","alpha=1 noalphatest fmt=BC3"
"building n templeage2.tga","Building","256","256","879","1.341","2","D:\AI_upscaling\AoMEE\extracted\textures\building n templeage2.bti","alpha=1 noalphatest fmt=BC3"
"building n templeage3.tga","Building","256","256","879","1.341","2","D:\AI_upscaling\AoMEE\extracted\textures\building n templeage3.bti","alpha=1 noalphatest fmt=BC3"
"building n thorarmory.tga","Building","256","256","564","0.861","2","D:\AI_upscaling\AoMEE\extracted\textures\building n thorarmory.bti","alpha=1 noalphatest fmt=BC3"
"building x palace age2.tga","Building","256","256","384","0.586","2","D:\AI_upscaling\AoMEE\extracted\textures\building x palace age2.bti","alpha=1 noalphatest fmt=BC3"
"building x palace age3.tga","Building","256","256","1100","1.678","2","D:\AI_upscaling\AoMEE\extracted\textures\building x palace age3.bti","alpha=1 noalphatest fmt=BC3"
"building x roof age0.tga","Building","256","256","868","1.324","2","D:\AI_upscaling\AoMEE\extracted\textures\building x roof age0.bti","alpha=1 noalphatest fmt=BC3"
"building x roof age1.tga","Building","256","256","1364","2.081","2","D:\AI_upscaling\AoMEE\extracted\textures\building x roof age1.bti","alpha=1 noalphatest fmt=BC3"
"building x titangate.tga","Building","256","256","272","0.415","2","D:\AI_upscaling\AoMEE\extracted\textures\building x titangate.bti","alpha=1 noalphatest fmt=BC3"
"building x tower watch2.tga","Building","256","256","994","1.517","2","D:\AI_upscaling\AoMEE\extracted\textures\building x tower watch2.bti","alpha=1 noalphatest fmt=BC3"
"building x tower watch3.tga","Building","256","256","994","1.517","2","D:\AI_upscaling\AoMEE\extracted\textures\building x tower watch3.bti","alpha=1 noalphatest fmt=BC3"
"building x tower watch4.tga","Building","256","256","924","1.41","2","D:\AI_upscaling\AoMEE\extracted\textures\building x tower watch4.bti","alpha=1 noalphatest fmt=BC3"
"building x wall bronze.tga","Building","256","256","936","1.428","2","D:\AI_upscaling\AoMEE\extracted\textures\building x wall bronze.bti","alpha=1 noalphatest fmt=BC3"
"building x wall iron.tga","Building","256","256","865","1.32","2","D:\AI_upscaling\AoMEE\extracted\textures\building x wall iron.bti","alpha=1 noalphatest fmt=BC3"
"building x wall oreichalkos.tga","Building","256","256","1496","2.283","2","D:\AI_upscaling\AoMEE\extracted\textures\building x wall oreichalkos.bti","alpha=1 noalphatest fmt=BC3"
"building x wall stone.tga","Building","256","256","876","1.337","2","D:\AI_upscaling\AoMEE\extracted\textures\building x wall stone.bti","alpha=1 noalphatest fmt=BC3"
