"Filename","Category","Width","Height","AlphaValueCount","AlphaType","TransparentPixels","PartialAlpha","OpaquePixels","AlphaCoveragePct","OpaqueCoveragePct","CoverageGroup","BTIFile"
"world a relic armor of achilles.tga",,"128","64","1","Binary","8192","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world a relic armor of achilles.bti"
"world a relic eye of horus.tga",,"128","64","1","Binary","8192","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world a relic eye of horus.bti"
"world a relic fetters of fenrir.tga",,"128","64","1","Binary","8192","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world a relic fetters of fenrir.bti"
"world a relic golden bridle of pegasus.tga",,"128","64","1","Binary","8192","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world a relic golden bridle of pegasus.bti"
"world a relic head of orpheus.tga",,"128","64","1","Binary","8192","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world a relic head of orpheus.bti"
"world a relic ring of the nibelung.tga",,"128","64","1","Binary","8192","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world a relic ring of the nibelung.bti"
"world a relic ship of fingernails.tga",,"128","64","1","Binary","8192","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world a relic ship of fingernails.bti"
"world a relic the wedjat eye.tga",,"128","64","1","Binary","8192","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world a relic the wedjat eye.bti"
"world c dam.tga",,"128","128","1","Binary","16384","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world c dam.bti"
"world c statue shennong head.tga",,"64","64","1","Binary","4096","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world c statue shennong head.bti"
"world g statue poseidon base.tga",,"64","32","1","Binary","2048","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world g statue poseidon base.bti"
"world g zues uwpassage.tga",,"256","256","1","Binary","65536","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world g zues uwpassage.bti"
"world g zuesstairs.tga",,"128","128","1","Binary","16384","0","0","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world g zuesstairs.bti"
"building c wonder palace walls.tga",,"256","256","11","MultiValue","64007","1513","16","2.333","0.024","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building c wonder palace walls.bti"
"building e outpost.tga",,"256","256","2","Binary","65364","0","172","0.262","0.262","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e outpost.bti"
"building g shrine.tga",,"256","256","2","Binary","65328","0","208","0.317","0.317","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g shrine.bti"
"archer c mounted archer horse bronze.tga",,"128","128","70","MultiValue","16004","316","64","2.319","0.391","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer horse bronze.bti"
"archer c mounted archer horse copper.tga",,"128","128","70","MultiValue","16004","316","64","2.319","0.391","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer horse copper.bti"
"archer c mounted archer horse iron.tga",,"128","128","70","MultiValue","16004","316","64","2.319","0.391","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer horse iron.bti"
"archer c mounted archer horse standard.tga",,"128","128","70","MultiValue","16004","316","64","2.319","0.391","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\archer c mounted archer horse standard.bti"
"hero g heracles head.tga",,"64","32","2","Binary","2040","0","8","0.391","0.391","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\hero g heracles head.bti"
"ui line yellow vertical.tga",,"8","256","221","MultiValue","24","2016","8","98.828","0.391","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\ui\ui line yellow vertical.bti"
