LogicalTGA,SourceClass,ActualPath,Exists,DecodeOK,ActualWidth,ActualHeight,ExpectedWidth,ExpectedHeight,ActualSizeBytes,ExpectedFileSizeKB,SizeOK,DimensionsOK,Status,Error
dlc-frontend/textures/ui/ui button arrow down 32x64.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow down 32x64.tga,True,True,32,64,32,64,8210,8.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button arrow left 64x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow left 64x32 clicked.tga,True,True,64,32,64,32,8210,8.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button arrow left 64x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow left 64x32 rollover.tga,True,True,64,32,64,32,8210,8.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button arrow left 64x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow left 64x32.tga,True,True,64,32,64,32,8210,8.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button arrow right 64x32 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow right 64x32 clicked.tga,True,True,64,32,64,32,8210,8.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button arrow right 64x32 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow right 64x32 rollover.tga,True,True,64,32,64,32,8210,8.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button arrow right 64x32.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow right 64x32.tga,True,True,64,32,64,32,8210,8.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button arrow up 32x64 clicked.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow up 32x64 clicked.tga,True,True,32,64,32,64,8210,8.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button arrow up 32x64 rollover.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow up 32x64 rollover.tga,True,True,32,64,32,64,8210,8.0,False,True,FAIL,file size mismatch; 
dlc-frontend/textures/ui/ui button arrow up 32x64.tga,normal,D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button arrow up 32x64.tga,True,True,32,64,32,64,8210,8.0,False,True,FAIL,file size mismatch; 
