relative_path,source_width,source_height,output_width,output_height,dimension_ok,alpha_ok,output_decode_ok,source_rgba_sha256,output_rgba_sha256,error
textures/ui/ui god egypt random 256x256.tga,256,256,1024,1024,True,True,True,9b637d2bd0d9840eb4016b89b0d51887ad4cbf338b20efc2cc29032b26d76745,f30ede7db6a66f085a0184d641b908665ece43e54bf714fa955960e678d26e78,
textures/ui/ui god egypt random 32x32.tga,32,32,128,128,True,True,True,26b25b58771c9aff515d76d771c0d69720d3464b70d740adbad311b87cb4d5a4,16173b6366c7df16acfb982357634eaf9fe01461c6cecf1cb4f9d074d8c5b0bd,
textures/ui/ui god egypt random 64x64.tga,64,64,256,256,True,True,True,f036fce0e82a6c992b06058fc62034812f6d61d7c778bc7a12093aa5c17f7b68,931c6f00b22919c1bc8d1a83e5df6c5244bd95435f08258acea41b41fd10a95f,
textures/ui/ui god fuxi 128x128.tga,128,128,512,512,True,True,True,4e1a85af440045cbfce46e6c72a17df88f1922eba8930c70aa9be867141da5fb,63d84553ca8c692099800583dda283e1dcbe6fab11753ae6163894bd11be5d47,
textures/ui/ui god fuxi 256x256.tga,256,256,1024,1024,True,True,True,f86dfa87f82e84ee613339b40eba38f87d56445e5bc1dad515ce1aef7a92b6f0,4717c8aea2a1426241f95e480dd165c546c84dc8e08a7628f937f537e01faeb1,
textures/ui/ui god fuxi 32x32.tga,32,32,128,128,True,True,True,95f09766791c24c760fd8023ad3a03383d6f9b7575fe8f96bb8e49958a52a5e0,222d7de2427af8d20c5269b85c9937cb5e38f069332d9fa95b16e9455b0256de,
textures/ui/ui god fuxi 64x64.tga,64,64,256,256,True,True,True,00cb7ff5394cd871e0463aadc54ecb86771068e4632855d56e019a262878bc94,f06fe858c6d4216e554e3e42bf4af09e0f91e70514cafefee1a2174d2ffaea6c,
textures/ui/ui god gaia 128x128.tga,128,128,512,512,True,True,True,fb6e3d3665b2eaf79770dbaca36f8e939e4cf73cd2697f821db69cf5ed6f7f2c,e8ff1c5d0cdcd8c7338207a7dff4cd9d0143f333c39be4e8e26ab5f7195e18af,
textures/ui/ui god gaia 256x256.tga,256,256,1024,1024,True,True,True,173c295923254cf3776f905127a6292583c0fd2284fe0e3cc7c729289a3f0884,d3fad4d59b9b32fdd5bc9610cce07ab0c58d06646750435820e32b6014a87ded,
textures/ui/ui god gaia 32x32.tga,32,32,128,128,True,True,True,ca1af17020064e89f065d2ba02d2319e36d00303d444cdb891e12ad75bf5fd52,bfdf6d5c1454ea9e7247223f92abd4644e0e242dd9d8f8a43966d7ff5f582635,
textures/ui/ui god gaia 64x64.tga,64,64,256,256,True,True,True,d2248155329ec9c9857f99462ae322c81b82462a5e18e89f6459463f45b5fd18,c93f93e2bfb5549d8de938801f5f8bd4279d54d98d4808e9a150d1ebb27cbd40,
textures/ui/ui god greek random 128x128.tga,128,128,512,512,True,True,True,bf0a09f39b2ab9ada9bc2a651bd3a7a80fe2ce94e2b2918b19fdeffc13682766,669539197feb874166019a23d6b645769187fba02a8302255bab17008b938b42,
textures/ui/ui god greek random 256x256.tga,256,256,1024,1024,True,True,True,70fc03bed1c730f55cd4e3d042ad8b48c53313c0c773db7012fceb136327f90d,38afa1417cb5ed6f0fe53b078aa2eb39ebae0288c040526866a0ac165372446a,
textures/ui/ui god greek random 32x32.tga,32,32,128,128,True,True,True,7505aa3a52f37150f27df245358acacab03ed97cffb3a22a9ff154e5b96138d5,d733ed4ec0bea8b929f3afe76d051dee194c48672758fa222eb93568bc028cc8,
textures/ui/ui god greek random 64x64.tga,64,64,256,256,True,True,True,ce2783e324384a2ad82bd0ead030c0c93da1a72710aca2dbedef1b7bde65e064,2a6b1f4140a14106526a462fc625b0c33a1e91a06d4514994de6cfbfc0738061,
textures/ui/ui god hades 128x128.tga,128,128,512,512,True,True,True,aae4b5b337653d47418227ee6512e02e928b9082bc5af862f3b1b21ab01f5360,5b2629f38895e485b21a09d034d26e4dbf0fb7122459751d336d45c2fd008cc9,
