RelativePath,Category,SourceType,SourceWidth,SourceHeight,SourceArea,OutputWidth,OutputHeight,OutputArea,OutputMegapixels,OutputMaxDimension,BTIFormat,BTIAlphaBits,NoAlphaTest,NoMip,Clamp,BTIBOM,AlphaBand,AlphaCoveragePercent,AlphaValueCount,MTRLTotal,MTRLCT0,MTRLCT4,PBRifyFound,DDTFound,DDTBytes,DDTNonEmpty,Large1024Plus,Large2048Plus,Large4096Plus,Square1024Output,BC1Large,BC1Square1024,CanonicalFamily,EstimatedRGBABytes,OutputExactly4x
dlc-frontend\textures\ui\ui pregame right bottom.tga,Unknown,NormalExtraction,481,360,173160,1924,1440,2770560,2.7706,1924,DEFLATEDRGBA8,4,False,False,False,False,,60.865,256,0,0,0,True,True,1732352,True,True,False,False,False,False,False,DEFLATED,11082240,True
dlc-frontend\textures\ui\ui pregame right middle.tga,Unknown,NormalExtraction,481,360,173160,1924,1440,2770560,2.7706,1924,DEFLATEDRGBA8,4,False,False,False,False,,75.702,256,0,0,0,True,True,1732352,True,True,False,False,False,False,False,DEFLATED,11082240,True
dlc-frontend\textures\ui\ui pregame right top.tga,Unknown,NormalExtraction,481,360,173160,1924,1440,2770560,2.7706,1924,DEFLATEDRGBA8,4,False,False,False,False,,57.978,256,0,0,0,True,True,1732352,True,True,False,False,False,False,False,DEFLATED,11082240,True
dlc-frontend\textures\ui\ui scroll middle 256x16.tga,Unknown,NormalExtraction,256,64,16384,1024,256,262144,0.2621,1024,DEFLATEDRGBA8,1,False,False,False,False,,64.453,2,0,0,0,True,True,163872,True,True,False,False,False,False,False,DEFLATED,1048576,True
textures\_missingtexture.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,0,False,False,False,False,,100.0,1,1,0,1,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\agamemnon map.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,1,True,False,False,False,,5.678,3,3,2,1,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\animal flying purple hippo.tga,Unknown,NormalExtraction,256,128,32768,1024,512,524288,0.5243,1024,BC3,1,True,False,False,False,,0.0,1,22,11,11,True,True,524312,True,True,False,False,False,False,False,BC3,2097152,True
textures\Animal William Walrus Map.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,4,True,False,False,False,,5.15,68,1,0,1,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\animal wolf arctic map.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,0,False,False,False,False,,100.0,1,0,0,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
textures\animal wolf artic map.tga,Unknown,NormalExtraction,256,256,65536,1024,1024,1048576,1.0486,1024,BC3,0,False,False,False,False,,100.0,1,0,0,0,True,True,1048600,True,True,False,False,True,False,False,BC3,4194304,True
